Subject,Type,Timepoint,Rating,BRat
5a6f1ccade1f390001dbd8b7,Self,Current,5,0.999771689
5e7daa886c123242e86c8138,Self,Current,3,0.5
5ee64e85c682de3a880579c6,Self,Current,2,0.250114155
A1PAY3X73PQ16S,Self,Current,3,0.5
5c92870723bd7e001870138e,Self,Current,3,0.5
5d30a193b2cfe00017231a93,Self,Current,3,0.5
5d4c7ac3e8ec490018b0050d,Self,Current,3,0.5
5e84253b26729e1847f16611,Self,Current,3,0.5
5c70852d7826350001565ce4,Self,Current,1,0.000228311
5c40e7d99d27f00001159a65,Self,Current,3,0.5
5ab84333f69e940001d8f0af,Self,Current,1,0.000228311
5de82c263aa2777a36b996b2,Self,Current,2,0.250114155
5dd5db1ded7ea4574c7bc996,Self,Current,1,0.000228311
5d8c46cc53b833001a4bf916,Self,Current,2,0.250114155
5e606b1eaf84e83c728748d7,Self,Current,3,0.5
5ec46d59c1c5e016fafe11d6,Self,Current,3,0.5
5ea90a840928983752c88275,Self,Current,3,0.5
5e6ef5fbf14d264ae2ef3867,Self,Current,2,0.250114155
5bd9f569eb22f2000183df4e,Self,Current,4,0.749885845
5ee6706034f12e3d82d952aa,Self,Current,2,0.250114155
5ec6c96f5b660e0f25ea094c,Self,Current,2,0.250114155
5e9f55237c0db50bb0a02621,Self,Current,3,0.5
5ddc516e82a527bc2397e6e1,Self,Current,1,0.000228311
59c0782e5364260001dc4740,Self,Current,5,0.999771689
5edaf0abba14031b7899eb3f,Self,Current,3,0.5
5e69987e0873d600084bc920,Self,Current,1,0.000228311
5ed0091bd374190b9b04045d,Self,Current,4,0.749885845
5ea9cc7058ebeb11a12e659c,Self,Current,2,0.250114155
5761c23632676f0007eb36b3,Self,Current,1,0.000228311
5e41d817cfafb807ef94486a,Self,Current,2,0.250114155
5c82656bed1753001581fd1e,Self,Current,1,0.000228311
5ec5a64c306f255ec98d5cc1,Self,Current,2,0.250114155
5ebe057674d69c15b1642055,Self,Current,2,0.250114155
57d6dd8d6598aa000199188b,Self,Current,3,0.5
597fe89a1b41a20001749f57,Self,Current,2,0.250114155
5eea5252da0cfc115e24e69b,Self,Current,2,0.250114155
5ee3a34e16ad19048aef74f6,Self,Current,2,0.250114155
56fdff4ee0f9ff000f19c466,Self,Current,1,0.000228311
 5ad4a9f30f5d3900016a4d8b ,Self,Current,3,0.5
5ec81134ac7d6b2b9ac51453,Self,Current,2,0.250114155
