"","Subject","prev_experience","curr_experience","stress_memory","num_weights","dev","time","sum_prev_curr"
"92","GU172",3.83333333333333,2.25,3.25,6,-0.583333333333333,2,6.08333333333333
"93","HUE002",5,5,5,6,0,2,10
"94","HUE003",1.83333333333333,1,2.33333333333333,6,0.5,2,2.83333333333333
"95","HUE004",4.16666666666667,4,3.66666666666667,6,-0.5,2,8.16666666666667
"96","HUE005",3,1.66666666666667,2.5,6,-0.5,2,4.66666666666667
"97","HUE006",4.16666666666667,3.41666666666667,4,6,-0.166666666666667,2,7.58333333333333
"98","HUE007",3.91666666666667,3,3.25,6,-0.666666666666667,2,6.91666666666667
"99","HUE008",3.66666666666667,2.83333333333333,4.33333333333333,6,0.666666666666667,2,6.5
"100","HUE010",4.16666666666667,3.91666666666667,3.66666666666667,6,-0.5,2,8.08333333333333
"101","HUE011",3.66666666666667,1.5,3.83333333333333,6,0.166666666666667,2,5.16666666666667
"102","HUE012",3.83333333333333,3.66666666666667,4.33333333333333,6,0.5,2,7.5
"103","HUE014",1.66666666666667,2.08333333333333,2.16666666666667,6,0.5,2,3.75
"104","HUE015",3.16666666666667,1.5,2.33333333333333,6,-0.833333333333333,2,4.66666666666667
"105","HUE016",4.91666666666667,4.25,4.75,6,-0.166666666666667,2,9.16666666666667
"106","HUE018",4.5,2.83333333333333,3.83333333333333,6,-0.666666666666667,2,7.33333333333333
"107","HUE019",3.58333333333333,4.66666666666667,4,6,0.416666666666667,2,8.25
"108","HUE020",3.83333333333333,3.83333333333333,4.16666666666667,6,0.333333333333333,2,7.66666666666667
"109","HUE022",2.5,2.83333333333333,3.83333333333333,6,1.33333333333333,2,5.33333333333333
"110","HUE023",3.33333333333333,2.33333333333333,4,6,0.666666666666667,2,5.66666666666667
"111","HUE024",4.33333333333333,4.16666666666667,4.5,6,0.166666666666667,2,8.5
"112","HUE025",2.83333333333333,2.5,3.66666666666667,6,0.833333333333333,2,5.33333333333333
"113","HUE026",3.5,3.83333333333333,4.16666666666667,6,0.666666666666667,2,7.33333333333333
"114","HUE027",4,3.66666666666667,4.16666666666667,6,0.166666666666667,2,7.66666666666667
"115","HUE028",4.33333333333333,3.66666666666667,4.5,6,0.166666666666667,2,8
"116","HUE029",3.75,2.66666666666667,4,6,0.25,2,6.41666666666667
"117","HUE030",3.66666666666667,3.5,4.66666666666667,6,1,2,7.16666666666667
"118","HUE031",4.41666666666667,2.66666666666667,4,6,-0.416666666666667,2,7.08333333333333
"119","HUE032",4.16666666666667,3.66666666666667,4.5,6,0.333333333333333,2,7.83333333333333
"120","HUE034",4.41666666666667,4.5,4.5,6,0.0833333333333333,2,8.91666666666667
"121","HUE035",1.83333333333333,2.5,3,6,1.16666666666667,2,4.33333333333333
"122","HUE036",3.66666666666667,3.83333333333333,4.16666666666667,6,0.5,2,7.5
"123","HUY001",4.08333333333333,4.16666666666667,4.83333333333333,6,0.75,2,8.25
"124","HUY003",2,1.58333333333333,2.5,6,0.5,2,3.58333333333333
"125","HUY004",2.66666666666667,1.66666666666667,3.16666666666667,6,0.5,2,4.33333333333333
"126","HUY005",4.33333333333333,4.83333333333333,4.83333333333333,6,0.5,2,9.16666666666667
"127","HUY007",4.5,4,4.5,6,0,2,8.5
"128","HUY008",4.33333333333333,2.5,3.5,6,-0.833333333333333,2,6.83333333333333
"129","HUY009",2.91666666666667,3.5,4,6,1.08333333333333,2,6.41666666666667
"130","HUY010",4.75,4.66666666666667,5,6,0.25,2,9.41666666666667
"131","HUY012",3.66666666666667,3.5,3.83333333333333,6,0.166666666666667,2,7.16666666666667
"132","HUY013",3.16666666666667,3.33333333333333,3.83333333333333,6,0.666666666666667,2,6.5
"133","HUY014",2.41666666666667,2.16666666666667,3,6,0.583333333333333,2,4.58333333333333
"134","HUY015",3.83333333333333,3.5,3.5,6,-0.333333333333333,2,7.33333333333333
"135","HUY017",2.5,2.33333333333333,2.41666666666667,6,-0.0833333333333333,2,4.83333333333333
"136","HUY018",3.33333333333333,2.41666666666667,3.25,6,-0.0833333333333333,2,5.75
"137","HUY020",2.66666666666667,1.83333333333333,3.66666666666667,6,1,2,4.5
"138","HUY022",1.66666666666667,1.66666666666667,2.83333333333333,6,1.16666666666667,2,3.33333333333333
"139","HUY023",3.33333333333333,2.16666666666667,3.66666666666667,6,0.333333333333333,2,5.5
"140","HUY024",2.5,1.16666666666667,2.66666666666667,6,0.166666666666667,2,3.66666666666667
"141","HUY025",2.33333333333333,1.5,3,6,0.666666666666667,2,3.83333333333333
"142","HUY027",2.5,2.83333333333333,3.5,6,1,2,5.33333333333333
"143","HUY029",2.03333333333333,1.16666666666667,3,6,0.966666666666667,2,3.2
"144","HUY030",2.75,1.83333333333333,3,6,0.25,2,4.58333333333333
"145","HUY031",2.66666666666667,1.33333333333333,2.5,6,-0.166666666666667,2,4
"146","HUY033",1.66666666666667,1.83333333333333,2.5,6,0.833333333333333,2,3.5
"147","HUY034",3.83333333333333,2.66666666666667,4.33333333333333,6,0.5,2,6.5
"148","HUY035",4.33333333333333,3,3.33333333333333,6,-1,2,7.33333333333333
"149","HUY036",3.5,2.16666666666667,3.83333333333333,6,0.333333333333333,2,5.66666666666667
"150","HUY037",3,2.83333333333333,3.16666666666667,6,0.166666666666667,2,5.83333333333333
