"","Subject","item","experienced1","experienced2","experienced3","experienced4","remembered2","remembered3","remembered4","memdev2","memdev3","memdev4","currdev2","currdev3","currdev4"
"146","GU025","confusion",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","GU025","fear",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","GU025","frustration",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","GU025","sadness",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","GU025","shock",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","GU026","anger",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","GU026","confusion",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","GU026","fear",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","GU026","frustration",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","GU026","sadness",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","GU026","shock",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","GU027","anger",4,NA,NA,2.5,NA,NA,2.75,NA,NA,-1.25,NA,NA,-1.5
"158","GU027","confusion",2,NA,NA,1.75,NA,NA,1.25,NA,NA,-0.75,NA,NA,-0.25
"159","GU027","fear",2,NA,NA,1.75,NA,NA,2.25,NA,NA,0.25,NA,NA,-0.25
"160","GU027","frustration",3,NA,NA,1.5,NA,NA,2.25,NA,NA,-0.75,NA,NA,-1.5
"161","GU027","sadness",5,NA,NA,3,NA,NA,4,NA,NA,-1,NA,NA,-2
"162","GU027","shock",5,NA,NA,4,NA,NA,5,NA,NA,0,NA,NA,-1
"163","GU028","anger",5,3,NA,NA,5,NA,NA,0,NA,NA,-2,NA,NA
"164","GU028","confusion",4,2,NA,NA,5,NA,NA,1,NA,NA,-2,NA,NA
"165","GU028","fear",5,3,NA,NA,4,NA,NA,-1,NA,NA,-2,NA,NA
"166","GU028","frustration",3,3,NA,NA,4,NA,NA,1,NA,NA,0,NA,NA
"167","GU028","sadness",4,4,NA,NA,5,NA,NA,1,NA,NA,0,NA,NA
"168","GU028","shock",3,2,NA,NA,5,NA,NA,2,NA,NA,-1,NA,NA
"169","GU029","anger",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","GU029","confusion",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
