"","Subject","prev_experience","curr_experience","stress_memory","memdev","curr_dev","num_weights_updated","twovar_stress_memory","twovar_prev_experience","time"
"92","GU092",2.66666666666667,1.16666666666667,3.5,0.833333333333333,-1.5,6,3.5,2.66666666666667,2
"93","GU093",3.75,3.66666666666667,3.91666666666667,0.166666666666667,-0.0833333333333333,6,3.91666666666667,3.75,2
"94","GU094",3.83333333333333,2.58333333333333,3.41666666666667,-0.416666666666667,-1.25,6,3.41666666666667,3.83333333333333,2
"95","GU095",3.5,2.5,3.33333333333333,-0.166666666666667,-1,6,3.33333333333333,3.5,2
"96","GU096",1.91666666666667,NA,NA,NA,NA,0,NA,NA,2
"97","GU097",2.33333333333333,1,4.16666666666667,1.83333333333333,-1.33333333333333,6,4.16666666666667,2.33333333333333,2
"98","GU098",3.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"99","GU099",4.08333333333333,NA,NA,NA,NA,0,NA,NA,2
"100","GU100",4.66666666666667,4.08333333333333,4.16666666666667,-0.5,-0.583333333333333,6,4.16666666666667,4.66666666666667,2
"101","GU101",2.33333333333333,1.66666666666667,2.83333333333333,0.5,-0.666666666666667,6,2.83333333333333,2.33333333333333,2
"102","GU102",3.5,2.91666666666667,3.5,0,-0.583333333333333,6,3.5,3.5,2
"103","GU103",4,NA,NA,NA,NA,0,NA,NA,2
"104","GU104",4.29166666666667,3.33333333333333,4.66666666666667,0.375,-0.958333333333333,6,4.66666666666667,4.29166666666667,2
"105","GU105",3.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"106","GU106",2.83333333333333,3.41666666666667,3.875,0.875,0.583333333333333,4,3.875,3,2
"107","GU107",4.16666666666667,2.5,4.5,0,-1.66666666666667,4,4.5,4.5,2
"108","GU108",3.66666666666667,2.8,4,0.333333333333333,-0.8,5,4,3.66666666666667,2
"109","GU109",3.66666666666667,3,4.16666666666667,0.5,-0.8,5,4.16666666666667,3.66666666666667,2
"110","GU110",1.33333333333333,1.33333333333333,2.58333333333333,1.25,0,6,2.58333333333333,1.33333333333333,2
"111","GU111",4.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"112","GU112",4,NA,NA,NA,NA,0,NA,NA,2
"113","GU113",3.58333333333333,3.6,4.16666666666667,0.583333333333333,0.1,5,4.16666666666667,3.58333333333333,2
"114","GU114",4,2.66666666666667,4,0,-1.33333333333333,6,4,4,2
"115","GU115",3.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"116","GU116",3,2,4,1,-1,6,4,3,2
"117","GU117",2.75,2.16666666666667,2.16666666666667,-0.583333333333333,-0.583333333333333,6,2.16666666666667,2.75,2
"118","GU118",4,4,4.5,0.5,-0.2,5,4.5,4,2
"119","GU119",4,NA,NA,NA,NA,0,NA,NA,2
"120","GU120",3.58333333333333,3.16666666666667,4.5,0.916666666666667,-0.416666666666667,6,4.5,3.58333333333333,2
"121","GU121",4.41666666666667,4.33333333333333,4.33333333333333,-0.0833333333333333,-0.0833333333333333,6,4.33333333333333,4.41666666666667,2
"122","GU122",3.91666666666667,NA,NA,NA,NA,0,NA,NA,2
"123","GU123",2.83333333333333,2,4.16666666666667,1.33333333333333,-0.8,5,4.16666666666667,2.83333333333333,2
"124","GU124",3.5,3.8,4.83333333333333,1.33333333333333,0,5,4.83333333333333,3.5,2
"125","GU125",3.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"126","GU126",4.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"127","GU127",3.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"128","GU128",3.33333333333333,1.66666666666667,4,0.666666666666667,-1.66666666666667,6,4,3.33333333333333,2
"129","GU129",4.66666666666667,4.33333333333333,4.75,0.25,-0.333333333333333,4,4.75,4.5,2
"130","GU130",2.66666666666667,3.16666666666667,3.75,0.75,0.5,4,3.75,3,2
"131","GU131",4.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"132","GU132",3.5,2.83333333333333,3.33333333333333,-0.166666666666667,-0.666666666666667,6,3.33333333333333,3.5,2
"133","GU133",2.83333333333333,1.8,2.33333333333333,-0.5,-0.8,5,2.33333333333333,2.83333333333333,2
"134","GU134",4,3.66666666666667,4.5,0.5,-0.333333333333333,6,4.5,4,2
"135","GU135",3.95833333333333,NA,NA,NA,NA,0,NA,NA,2
"136","GU136",2.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"137","GU137",3.66666666666667,2.16666666666667,4.5,0.833333333333333,-1.5,6,4.5,3.66666666666667,2
"138","GU138",3.5,3.33333333333333,3.5,0,-0.166666666666667,6,3.5,3.5,2
"139","GU139",3,1.83333333333333,3,-0.25,-1.16666666666667,4,3,3.25,2
"140","GU140",3.25,2.83333333333333,4.16666666666667,0.916666666666667,-0.416666666666667,6,4.16666666666667,3.25,2
"141","GU141",3.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"142","GU142",2.33333333333333,1,2.5,0.166666666666667,-1.6,5,2.5,2.33333333333333,2
"143","GU143",4.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"144","GU144",5,NA,NA,NA,NA,0,NA,NA,2
"145","GU145",5,NA,NA,NA,NA,0,NA,NA,2
"146","GU146",3.5,NA,NA,NA,NA,0,NA,NA,2
"147","GU147",3,NA,NA,NA,NA,0,NA,NA,2
"148","GU148",4.16666666666667,4.25,4.41666666666667,0.25,0.0833333333333333,6,4.41666666666667,4.16666666666667,2
"149","GU149",3.25,NA,NA,NA,NA,0,NA,NA,2
"150","GU150",4.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"151","GU151",4.66666666666667,3.66666666666667,4.83333333333333,0.166666666666667,-1,6,4.83333333333333,4.66666666666667,2
"152","GU152",3.33333333333333,2.66666666666667,4,0.666666666666667,-0.666666666666667,6,4,3.33333333333333,2
"153","GU153",3,2,3.16666666666667,0.166666666666667,-1,6,3.16666666666667,3,2
"154","GU154",2.83333333333333,2.66666666666667,3.16666666666667,0.333333333333333,-0.166666666666667,6,3.16666666666667,2.83333333333333,2
"155","GU155",1.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"156","GU156",4.83333333333333,3.5,4.66666666666667,-0.166666666666667,-1.33333333333333,6,4.66666666666667,4.83333333333333,2
"157","GU157",2.66666666666667,1.33333333333333,2.66666666666667,0,-1.33333333333333,6,2.66666666666667,2.66666666666667,2
"158","GU158",3.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"159","GU159",2.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"160","GU160",4,NA,NA,NA,NA,0,NA,NA,2
"161","GU161",3.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"162","GU162",4,NA,NA,NA,NA,0,NA,NA,2
"163","GU163",3.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"164","GU164",3.66666666666667,4.5,4.5,0.833333333333333,0.833333333333333,6,4.5,3.66666666666667,2
"165","GU165",4,4,4.16666666666667,0.166666666666667,0,6,4.16666666666667,4,2
"166","GU166",2.16666666666667,2.33333333333333,3.16666666666667,1,0.166666666666667,6,3.16666666666667,2.16666666666667,2
"167","GU167",3,NA,NA,NA,NA,0,NA,NA,2
"168","GU168",4.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"169","GU169",2.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"170","GU170",3.83333333333333,2.33333333333333,3.16666666666667,-0.666666666666667,-1.5,6,3.16666666666667,3.83333333333333,2
"171","GU171",3.5,NA,NA,NA,NA,0,NA,NA,2
"172","GU172",3.83333333333333,2.25,3.25,-0.583333333333333,-1.58333333333333,6,3.25,3.83333333333333,2
"173","GU173",3.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"174","HUE001",3.75,NA,NA,NA,NA,0,NA,NA,2
"175","HUE002",5,5,5,0,0,6,5,5,2
"176","HUE003",1.83333333333333,1,2.33333333333333,0.5,-0.833333333333333,6,2.33333333333333,1.83333333333333,2
"177","HUE004",4.16666666666667,4,3.66666666666667,-0.5,-0.166666666666667,6,3.66666666666667,4.16666666666667,2
"178","HUE005",3,1.66666666666667,2.5,-0.5,-1.33333333333333,6,2.5,3,2
"179","HUE006",4.16666666666667,3.41666666666667,4,-0.166666666666667,-0.75,6,4,4.16666666666667,2
"180","HUE007",3.91666666666667,3,3.25,-0.666666666666667,-0.916666666666667,6,3.25,3.91666666666667,2
"181","HUE008",3.66666666666667,2.83333333333333,4.33333333333333,0.666666666666667,-0.833333333333333,6,4.33333333333333,3.66666666666667,2
"182","HUE009",4.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"183","HUE010",4.16666666666667,3.91666666666667,3.66666666666667,-0.5,-0.25,6,3.66666666666667,4.16666666666667,2
"184","HUE011",3.66666666666667,1.5,3.83333333333333,0.166666666666667,-2.16666666666667,6,3.83333333333333,3.66666666666667,2
"185","HUE012",3.83333333333333,3.66666666666667,4.33333333333333,0.5,-0.166666666666667,6,4.33333333333333,3.83333333333333,2
"186","HUE013",4.25,NA,NA,NA,NA,0,NA,NA,2
"187","HUE014",1.66666666666667,2.08333333333333,2.16666666666667,0.5,0.416666666666667,6,2.16666666666667,1.66666666666667,2
"188","HUE015",3.16666666666667,1.5,2.33333333333333,-0.833333333333333,-1.66666666666667,6,2.33333333333333,3.16666666666667,2
"189","HUE016",4.91666666666667,4.25,4.75,-0.166666666666667,-0.666666666666667,6,4.75,4.91666666666667,2
"190","HUE017",3.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"191","HUE018",4.5,2.83333333333333,3.83333333333333,-0.666666666666667,-1.66666666666667,6,3.83333333333333,4.5,2
"192","HUE019",3.58333333333333,4.66666666666667,4,0.416666666666667,1.08333333333333,6,4,3.58333333333333,2
"193","HUE020",3.83333333333333,3.83333333333333,4.16666666666667,0.333333333333333,0,6,4.16666666666667,3.83333333333333,2
"194","HUE021",1.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"195","HUE022",2.5,2.83333333333333,3.83333333333333,1.33333333333333,0.333333333333333,6,3.83333333333333,2.5,2
"196","HUE023",3.33333333333333,2.33333333333333,4,0.666666666666667,-1,6,4,3.33333333333333,2
"197","HUE024",4.33333333333333,4.16666666666667,4.5,0.166666666666667,-0.166666666666667,6,4.5,4.33333333333333,2
"198","HUE025",2.83333333333333,2.5,3.66666666666667,0.833333333333333,-0.333333333333333,6,3.66666666666667,2.83333333333333,2
"199","HUE026",3.5,3.83333333333333,4.16666666666667,0.666666666666667,0.333333333333333,6,4.16666666666667,3.5,2
"200","HUE027",4,3.66666666666667,4.16666666666667,0.166666666666667,-0.333333333333333,6,4.16666666666667,4,2
"201","HUE028",4.33333333333333,3.66666666666667,4.5,0.166666666666667,-0.666666666666667,6,4.5,4.33333333333333,2
"202","HUE029",3.75,2.66666666666667,4,0.25,-1.08333333333333,6,4,3.75,2
"203","HUE030",3.66666666666667,3.5,4.66666666666667,1,-0.166666666666667,6,4.66666666666667,3.66666666666667,2
"204","HUE031",4.41666666666667,2.66666666666667,4,-0.416666666666667,-1.75,6,4,4.41666666666667,2
"205","HUE032",4.16666666666667,3.66666666666667,4.5,0.333333333333333,-0.5,6,4.5,4.16666666666667,2
"206","HUE033",3.08333333333333,NA,NA,NA,NA,0,NA,NA,2
"207","HUE034",4.41666666666667,4.5,4.5,0.0833333333333333,0.0833333333333333,6,4.5,4.41666666666667,2
"208","HUE035",1.83333333333333,2.5,3,1.16666666666667,0.666666666666667,6,3,1.83333333333333,2
"209","HUE036",3.66666666666667,3.83333333333333,4.16666666666667,0.5,0.166666666666667,6,4.16666666666667,3.66666666666667,2
"210","HUY001",4.08333333333333,4.16666666666667,4.83333333333333,0.75,0.0833333333333333,6,4.83333333333333,4.08333333333333,2
"211","HUY002",3.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"212","HUY003",2,1.58333333333333,2.5,0.5,-0.416666666666667,6,2.5,2,2
"213","HUY004",2.66666666666667,1.66666666666667,3.16666666666667,0.5,-1,6,3.16666666666667,2.66666666666667,2
"214","HUY005",4.33333333333333,4.83333333333333,4.83333333333333,0.5,0.5,6,4.83333333333333,4.33333333333333,2
"215","HUY006",3.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"216","HUY007",4.5,4,4.5,0,-0.5,6,4.5,4.5,2
"217","HUY008",4.33333333333333,2.5,3.5,-0.833333333333333,-1.83333333333333,6,3.5,4.33333333333333,2
"218","HUY009",2.91666666666667,3.5,4,1.08333333333333,0.583333333333333,6,4,2.91666666666667,2
"219","HUY010",4.75,4.66666666666667,5,0.25,-0.0833333333333333,6,5,4.75,2
"220","HUY011",3.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"221","HUY012",3.66666666666667,3.5,3.83333333333333,0.166666666666667,-0.166666666666667,6,3.83333333333333,3.66666666666667,2
"222","HUY013",3.16666666666667,3.33333333333333,3.83333333333333,0.666666666666667,0.166666666666667,6,3.83333333333333,3.16666666666667,2
"223","HUY014",2.41666666666667,2.16666666666667,3,0.583333333333333,-0.25,6,3,2.41666666666667,2
"224","HUY015",3.83333333333333,3.5,3.5,-0.333333333333333,-0.333333333333333,6,3.5,3.83333333333333,2
"225","HUY016",2.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"226","HUY017",2.5,2.33333333333333,2.41666666666667,-0.0833333333333333,-0.166666666666667,6,2.41666666666667,2.5,2
"227","HUY018",3.33333333333333,2.41666666666667,3.25,-0.0833333333333333,-0.916666666666667,6,3.25,3.33333333333333,2
"228","HUY019",3.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"229","HUY020",2.66666666666667,1.83333333333333,3.66666666666667,1,-0.833333333333333,6,3.66666666666667,2.66666666666667,2
"230","HUY021",3,NA,NA,NA,NA,0,NA,NA,2
"231","HUY022",1.66666666666667,1.66666666666667,2.83333333333333,1.16666666666667,0,6,2.83333333333333,1.66666666666667,2
"232","HUY023",3.33333333333333,2.16666666666667,3.66666666666667,0.333333333333333,-1.16666666666667,6,3.66666666666667,3.33333333333333,2
"233","HUY024",2.5,1.16666666666667,2.66666666666667,0.166666666666667,-1.33333333333333,6,2.66666666666667,2.5,2
"234","HUY025",2.33333333333333,1.5,3,0.666666666666667,-0.833333333333333,6,3,2.33333333333333,2
"235","HUY026",3.58333333333333,NA,NA,NA,NA,0,NA,NA,2
"236","HUY027",2.5,2.83333333333333,3.5,1,0.333333333333333,6,3.5,2.5,2
"237","HUY028",3.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"238","HUY029",2.03333333333333,1.16666666666667,3,0.966666666666667,-0.866666666666667,6,3,2.03333333333333,2
"239","HUY030",2.75,1.83333333333333,3,0.25,-0.916666666666667,6,3,2.75,2
"240","HUY031",2.66666666666667,1.33333333333333,2.5,-0.166666666666667,-1.33333333333333,6,2.5,2.66666666666667,2
"241","HUY032",2.25,NA,NA,NA,NA,0,NA,NA,2
"242","HUY033",1.66666666666667,1.83333333333333,2.5,0.833333333333333,0.166666666666667,6,2.5,1.66666666666667,2
"243","HUY034",3.83333333333333,2.66666666666667,4.33333333333333,0.5,-1.16666666666667,6,4.33333333333333,3.83333333333333,2
"244","HUY035",4.33333333333333,3,3.33333333333333,-1,-1.33333333333333,6,3.33333333333333,4.33333333333333,2
"245","HUY036",3.5,2.16666666666667,3.83333333333333,0.333333333333333,-1.33333333333333,6,3.83333333333333,3.5,2
"246","HUY037",3,2.83333333333333,3.16666666666667,0.166666666666667,-0.166666666666667,6,3.16666666666667,3,2
"247","NSU001",3.41666666666667,NA,NA,NA,NA,0,NA,NA,2
"248","NSU002",2.33333333333333,1.66666666666667,2.66666666666667,0.333333333333333,-0.666666666666667,6,2.66666666666667,2.33333333333333,2
"249","NSU003",4.83333333333333,3.83333333333333,4.83333333333333,0,-1,6,4.83333333333333,4.83333333333333,2
"250","NSU004",4.33333333333333,3.33333333333333,4,-0.333333333333333,-1,6,4,4.33333333333333,2
"251","NSU005",3.5,4.5,4.66666666666667,1.16666666666667,1,6,4.66666666666667,3.5,2
"252","NSU006",4.5,4.33333333333333,4.66666666666667,0.166666666666667,-0.166666666666667,6,4.66666666666667,4.5,2
"253","NSU007",4.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"254","NSU008",2.91666666666667,2.125,4.125,1.20833333333333,-0.791666666666667,6,4.125,2.91666666666667,2
"255","NSU009",4.41666666666667,NA,NA,NA,NA,0,NA,NA,2
"256","NSU010",4,1.66666666666667,3.5,-0.5,-2.33333333333333,6,3.5,4,2
"257","NSU011",3.5,2,4,0.5,-1.5,6,4,3.5,2
"258","NSU012",3.41666666666667,1.83333333333333,4,0.583333333333333,-1.58333333333333,6,4,3.41666666666667,2
"259","NSU013",4.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"260","NSU014",3.5,1.91666666666667,4.5,1,-1.58333333333333,6,4.5,3.5,2
"261","NSU015",2.83333333333333,2.41666666666667,3.16666666666667,0.333333333333333,-0.416666666666667,6,3.16666666666667,2.83333333333333,2
"262","NSU016",4.66666666666667,3.83333333333333,5,0.333333333333333,-0.833333333333333,6,5,4.66666666666667,2
"263","NSU017",4,NA,NA,NA,NA,0,NA,NA,2
"264","NSU018",2.33333333333333,1.66666666666667,3.33333333333333,1,-0.666666666666667,6,3.33333333333333,2.33333333333333,2
"265","NSU019",3.25,2.41666666666667,2.91666666666667,-0.333333333333333,-0.833333333333333,6,2.91666666666667,3.25,2
"266","NSU020",2,1.66666666666667,3.58333333333333,1.58333333333333,-0.333333333333333,6,3.58333333333333,2,2
"267","NSU021",2.5,1.5,3.33333333333333,0.833333333333333,-1,6,3.33333333333333,2.5,2
"268","NSU022",3.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"269","NSU023",3.33333333333333,2.5,3.66666666666667,0.333333333333333,-0.833333333333333,6,3.66666666666667,3.33333333333333,2
"270","NSU024",4.08333333333333,1.83333333333333,3.33333333333333,-0.75,-2.25,6,3.33333333333333,4.08333333333333,2
"271","NSU025",3.75,3.33333333333333,4.33333333333333,0.583333333333333,-0.416666666666667,6,4.33333333333333,3.75,2
"272","NSU026",3.66666666666667,4.5,4.66666666666667,1,0.833333333333333,6,4.66666666666667,3.66666666666667,2
"273","NSU027",4,NA,NA,NA,NA,0,NA,NA,2
"274","NSU028",4.16666666666667,3.66666666666667,4.83333333333333,0.666666666666667,-0.5,6,4.83333333333333,4.16666666666667,2
"275","NSU029",4.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"276","NSU030",3.66666666666667,2.83333333333333,4,0.333333333333333,-0.833333333333333,6,4,3.66666666666667,2
"277","NSU031",3.58333333333333,2.5,4,0.416666666666667,-1.08333333333333,6,4,3.58333333333333,2
"278","NSU032",3.33333333333333,1.33333333333333,3.66666666666667,0.333333333333333,-2,6,3.66666666666667,3.33333333333333,2
"279","NSU033",4.16666666666667,3.58333333333333,4.58333333333333,0.416666666666667,-0.583333333333333,6,4.58333333333333,4.16666666666667,2
"280","NSU034",4,NA,NA,NA,NA,0,NA,NA,2
"281","NSU035",2.83333333333333,1.33333333333333,2.83333333333333,0,-1.5,6,2.83333333333333,2.83333333333333,2
"282","NSU036",4.66666666666667,3,4,-0.666666666666667,-1.66666666666667,6,4,4.66666666666667,2
"283","NSU037",4.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"284","NSU038",2.83333333333333,2.83333333333333,3.58333333333333,0.75,0,6,3.58333333333333,2.83333333333333,2
"285","NSU039",3.25,NA,NA,NA,NA,0,NA,NA,2
"286","NSU040",4.16666666666667,NA,NA,NA,NA,0,NA,NA,2
