"","Subject","age","gender"
"503","STLM126",88,"Female"
"504","STLC056",19,"Female"
"505","STLM208",55,"Female"
"506","STAN127",21,"Female"
"507","STAN048",18,"Male"
"508","STLC019",86,"Female"
"509","NYU030",25,"Female"
"510","GU052",19,"Male"
"511","NSU138",29,"Female"
"512","GU137",20,"Female"
"513","NYU035",58,"Male"
"514","STLM021",51,"Female"
"515","STLM205",76,"Female"
"516","NYU038",22,"Female"
"517","YALE011",25,"Female"
"518","NYU039",23,"Female"
"519","STAN047",19,"Male"
"520","STLC011",72,"Female"
"521","STLM105",72,"Male"
"522","NYU042",29,"Female"
"523","NSU037",60,"Female"
"524","STAN035",18,"Female"
"525","STLM066",92,"Female"
"526","NSU049",34,"Female"
"527","STAN041",20,"Female"
"528","GU065",20,"Female"
"529","NYU049",18,"Female"
"530","UCSC056",48,"Female"
"531","YALE017",20,"Female"
"532","YALE018",17,"Female"
"533","GU019",19,"Female"
"534","STAN143",20,"Female"
"535","NYU059",29,"Male"
"536","NSU081",33,"Male"
"537","STLC048",19,"Female"
"538","UCSC048",24,"Female"
"539","STLC079",18,"Female"
"540","UCSC044",27,"Female"
"541","NYU061",32,"Female"
"542","GU010",21,"Female"
"543","UCSC051",54,"Female"
"544","UCSC054",52,"Female"
"545","NYU064",20,"Female"
"546","NSU051",41,"Female"
"547","STLM006",81,"Female"
"548","GU049",20,"Female"
"549","NYU065",22,"Female"
"550","STAN038",21,"Female"
"551","NYU068",19,"Female"
"552","STAN140",26,"Female"
"553","NYU070",23,"Female"
"554","NYU073",29,"Female"
"555","GU160",19,"Male"
"556","STLM177",50,"Male"
"557","NYU075",48,"Male"
"558","NSU053",31,"Female"
"559","STAN030",28,"Male"
"560","NSU139",40,"Female"
"561","GU114",22,"Female"
"562","STLM014",43,"Female"
"563","NYU076",24,"Female"
"564","GU037",18,"Male"
"565","UCSC010",22,"Female"
"566","NYU077",22,"Female"
"567","STAN091",22,"Female"
"568","STLM184",32,"Female"
"569","YALE023",22,"Male"
"570","UCSC036",20,"Female"
"571","NSU022",25,"Male"
"572","NSU015",31,"Male"
"573","NYU083",27,"Female"
"574","GU006",20,"Female"
"575","NSU120",44,"Female"
"576","STLC023",21,"Female"
"577","STAN014",64,"Male"
"578","UCSC016",27,"Female"
"579","STLC003",30,"Male"
"580","STLM155",79,"Female"
"581","NSU209",23,"Female"
"582","NYU087",21,"Female"
"583","NSU019",36,"Female"
"584","NYU088",21,"Female"
"585","GU059",20,"Female"
"586","STLM115",77,"Female"
"587","STAN125",46,"Female"
"588","YALE024",18,"Female"
"589","GU029",19,"Female"
"590","UCSC041",57,"Male"
"591","NSU147",22,"Female"
"592","STAN074",19,"Female"
"593","NSU176",30,"Female"
"594","STLM125",74,"Female"
"595","NYU092",20,"Male"
"596","NSU065",30,"Female"
"597","NYU093",49,"Male"
"598","STLC034",20,"Female"
