Subject,Scope,Threat,BThreat
5e51dfe3618c57215938d7b7,Self,2,0.250085616
5d54b73f1c1de70015d50959,Self,4,0.749914384
5d6141608a11df001a477fbe,Self,5,0.999828767
5be781ca3b047e0001a39e47,Self,2,0.250085616
5e04446a783225ee6e9ed929,Self,4,0.749914384
59a1de0cec2f75000124eeaf,Self,1,0.000171233
5dd3e852b988873c617cd21a,Self,2,0.250085616
5e975ea254955d0bfe9f7929,Self,5,0.999828767
5dcf402982569a08ddd84086,Self,3,0.5
5dcf7b49523df00ae9c4e07e,Self,4,0.749914384
5ed17af75957f60d040e3f34,Self,2,0.250085616
5edd13e3858a15a07241964b,Self,3,0.5
578673a9275be6000135880e,Self,2,0.250085616
5ecc6fb87c7c7646490f3cf8,Self,3,0.5
58effc65c31d4d00015aa5b9,Self,3,0.5
5e416e22fb96eb000b3fe2a8,Self,1,0.000171233
5c43349027bb0d0001282427,Self,1,0.000171233
5c2cdb4e213a1a0001b9c475,Self,4,0.749914384
5eb2d579ed24d507082b07a2,Self,4,0.749914384
5dc1cd625fd2031344dfe43d,Self,3,0.5
5b97f8988ae8150001c7a887,Self,4,0.749914384
5c5fc78e96dff400013607a5,Self,3,0.5
5c804f4092ad770015846011,Self,5,0.999828767
5d2e56ae72b6780001c66698,Self,5,0.999828767
5d82d28977546f00166ae702,Self,1,0.000171233
5a9262251eda410001360b2c,Self,3,0.5
5ea492e3b1b3620a6fee3b90,Self,3,0.5
59e833e72f63d30001c8fb86,Self,2,0.250085616
5c71b63c4aa8ec0001f2bfc4,Self,3,0.5
5dc4175e3317732e53467e8b,Self,4,0.749914384
59658491b9153e0001617465,Self,4,0.749914384
5c9ebf067114700016da2813,Self,2,0.250085616
5eca8de81197051fa92b5a6a,Self,3,0.5
57b60487e5b60d0001083aea,Self,2,0.250085616
5d1beb9c9e033e0017a725dc,Self,4,0.749914384
5dee72917309b950e5262f3a,Self,3,0.5
56d0f57421cd29000a9737e4,Self,2,0.250085616
5ec75df0d799ae1c11a8115c,Self,4,0.749914384
5e65c211b45c6432d8227e4c,Self,2,0.250085616
5c6a3c721519ac0001668582,Self,2,0.250085616
5dc1eb838a84461511b3cd73,Self,1,0.000171233
5cd062370081a60017789079,Self,3,0.5
5dc8d8b90a0b38630af7a0ba,Self,3,0.5
5d6ef023cfe0a400198f911e,Self,4,0.749914384
5beb8419aec9ef0001e9d5fb,Self,1,0.000171233
5ea8fe56a6d1a135a5a442cd,Self,1,0.000171233
5c9a7872e2a8d00001585513,Self,3,0.5
5c05ff644c14cf00019db0a9,Self,4,0.749914384
5d847ac9be4b0b00188463d7,Self,1,0.000171233
