"","Subject","TP","Question","Rating"
"26","5c7cf8b58ca9000001b52f6e","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"27","5aa637861eda41000136d5d2","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"28","5bf17270871dd1000197226e","Now","BlvngGvmntNotCmbtCOVID",0.5
"29","5be0a65507684000010cf0f9","Now","BlvngGvmntNotCmbtCOVID",0.5
"30","5c0150326a0c6e00013c6068","Now","BlvngGvmntNotCmbtCOVID",0.5
"31","599eaf0fbfd73c00010ea24e","Now","BlvngGvmntNotCmbtCOVID",0.999656121045392
"32","5eaad5dcc2e64603e5122442","Now","BlvngGvmntNotCmbtCOVID",0.5
"33","5c3a34eebe1ddc0001aa35d6","Now","BlvngGvmntNotCmbtCOVID",0.5
"34","5e6fd38fe95be7071b5196bf","Now","BlvngGvmntNotCmbtCOVID",NA
"35","5d55d562e04e1c0001f5e682","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"36","5e121b2b82a955890a9b3484","Now","BlvngGvmntNotCmbtCOVID",0.749828060522696
"37","A3OB6REG5CGHK1","Now","BlvngGvmntNotCmbtCOVID",0.5
"38","5d5f07cdca10e90016bc0103","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"39","5ede432f75bfd1073c1501d8","Now","BlvngGvmntNotCmbtCOVID",0.5
"40","5ec7ec01fc75cf27b5dd16ee","Now","BlvngGvmntNotCmbtCOVID",0.749828060522696
"41","5cfc3d486e9951001a0cb8cd","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"42","5dcefcd0307b8d05031d7264","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"43","57e7bb4e73e67300012b8e2a","Now","BlvngGvmntNotCmbtCOVID",0.999656121045392
"44","5993020a5f49420001caf86b","Now","BlvngGvmntNotCmbtCOVID",0.5
"45","5a78e410ae9a0b0001a97274","Now","BlvngGvmntNotCmbtCOVID",0.5
"46","5bf32090a155c300016f3c06","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"47","5e667f3bc3f30a4050fc8f2f","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"48","5e500182080ac1000b1c7315","Now","BlvngGvmntNotCmbtCOVID",0.5
"49","58742bf5d53c97000159df8c","Now","BlvngGvmntNotCmbtCOVID",0.5
"50","5d47abcc2dc88900166f27c9","Now","BlvngGvmntNotCmbtCOVID",0.5
"51","5ee0f5feec87fc0bc5eabdd7","Now","BlvngGvmntNotCmbtCOVID",0.749828060522696
"52","5d76a776f6630c0018431c01","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"53","5b5a822e1ad8270001c4f28d","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"54","5e6d3b17a2b73d2f7aef3d04","Now","BlvngGvmntNotCmbtCOVID",0.999656121045392
"55","5e1b9d3d08b5ba3c86879d5b","Now","BlvngGvmntNotCmbtCOVID",0.749828060522696
"56","5e15e63a4f40fbbd907aff1e","Now","BlvngGvmntNotCmbtCOVID",NA
"57","5d82be0cf45ead000150f026","Now","BlvngGvmntNotCmbtCOVID",0.5
"58","558acd52fdf99b65685f03d9","Now","BlvngGvmntNotCmbtCOVID",NA
"59","5edc195a95d5090e1c3f91b2","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"60","5e39d872793a082024d9cf18","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"61","57dd766bbcd7150001ded5de","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"62","59417543c768a500011c9731","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"63","56f0393f3f71990005d0e66d","Now","BlvngGvmntNotCmbtCOVID",0.250171939477304
"64","5e51dfe3618c57215938d7b7","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
"65","5d54b73f1c1de70015d50959","Now","BlvngGvmntNotCmbtCOVID",0.000343878954607978
