Subject,Conf_Rat,avg_dev,num_weights,BDev
5c9ebf067114700016da2813,Med,0.2,5,0.524965565
5eca8de81197051fa92b5a6a,High,0.8,5,0.599862259
57b60487e5b60d0001083aea,Low,-0.5,3,0.437586088
5d1beb9c9e033e0017a725dc,Med,0.4,5,0.549931129
5dee72917309b950e5262f3a,High,0.6,5,0.574896694
56d0f57421cd29000a9737e4,High,0,5,0.5
5ec75df0d799ae1c11a8115c,High,1,5,0.624827824
5e65c211b45c6432d8227e4c,Med,0.8,5,0.599862259
5c6a3c721519ac0001668582,High,0.5,5,0.562413912
5dc1eb838a84461511b3cd73,Med,0,5,0.5
5cd062370081a60017789079,High,1.6,4,0.699724518
5dc8d8b90a0b38630af7a0ba,High,0.8,5,0.599862259
5d6ef023cfe0a400198f911e,High,0.8,5,0.599862259
