Subject,TP,Question,Rating
5e6027f12036113753519c82,Now,DecreasedInPersonVisits,0.000343879
5b619b6c5256470001bcf992,Now,DecreasedInPersonVisits,0.5
5e35d4a59d323458753819d2,Now,DecreasedInPersonVisits,0.250171939
595b93be7882150001240e21,Now,DecreasedInPersonVisits,0.250171939
5e37b3d7abde98738c0f1e7c,Now,DecreasedInPersonVisits,0.999656121
5e29ada5d441690127fb5748,Now,DecreasedInPersonVisits,0.000343879
5e84b8443f064006f1b5215c,Now,DecreasedInPersonVisits,0.999656121
5dcca657854936945d68eaa9,Now,DecreasedInPersonVisits,0.000343879
5cd321750316ed0017c81bcd,Now,DecreasedInPersonVisits,0.749828061
5b4d39f2d4c93b00019c8217,Now,DecreasedInPersonVisits,0.5
55b9a9b0fdf99b6906d2aba4,Now,DecreasedInPersonVisits,0.000343879
58a43e029a17120001d910d5,Now,DecreasedInPersonVisits,0.000343879
5edeb3b209233c154f4d552a,Now,DecreasedInPersonVisits,0.000343879
5d9f8573ce3daf0015e3e400,Now,DecreasedInPersonVisits,0.000343879
5de1986c040f531f97eb6092,Now,DecreasedInPersonVisits,0.000343879
5490c822fdf99b71ba910e1a,Now,DecreasedInPersonVisits,0.000343879
5831f08ebfb3b400015a6ad4,Now,DecreasedInPersonVisits,0.999656121
5e6690ca0ef3a301da87b4d9,Now,DecreasedInPersonVisits,0.5
5e9b621702bbdc069b2496c4,Now,DecreasedInPersonVisits,0.749828061
5e6989bc651f7d241449fccf,Now,DecreasedInPersonVisits,0.749828061
5e8537fe23609011fe987ca7,Now,DecreasedInPersonVisits,NA
5ea997837d28170bc5125c56,Now,DecreasedInPersonVisits,0.000343879
5d378df21acda30001e7191e,Now,DecreasedInPersonVisits,0.250171939
5cc1e9161758c700138de977,Now,DecreasedInPersonVisits,0.5
5c82a8cdfff8430015e9942f,Now,DecreasedInPersonVisits,0.000343879
5c925b0fb138fe0014e4036b,Now,DecreasedInPersonVisits,0.000343879
5e5ab88a43f33029b119a48c,Now,DecreasedInPersonVisits,0.250171939
5e19c8d1477f3b24e0ac5efa,Now,DecreasedInPersonVisits,0.250171939
5a212dcc7b108200011e040c,Now,DecreasedInPersonVisits,0.5
5c27f83289f035000174a168,Now,DecreasedInPersonVisits,0.250171939
5ed081544e61f3163c036286,Now,DecreasedInPersonVisits,0.250171939
5d6d6412f570e000184cf48b,Now,DecreasedInPersonVisits,0.000343879
5bddf0f876219d00014b145e,Now,DecreasedInPersonVisits,0.000343879
5dacf17a6f11e500163e3bc4,Now,DecreasedInPersonVisits,0.999656121
5e4af9e73485dd000c99724e,Now,DecreasedInPersonVisits,0.5
5bcb229aa8920a00013060fa,Now,DecreasedInPersonVisits,0.250171939
5b15307351caaf0001228d9b,Now,DecreasedInPersonVisits,0.000343879
5cb9bc10e50fe5001746c43b,Now,DecreasedInPersonVisits,0.250171939
5a0d9553fe645f0001e9f852,Now,DecreasedInPersonVisits,0.5
5c03217b1a20110001e979f0,Now,DecreasedInPersonVisits,0.250171939
